yy;cluster;sintesi;modello
2019-10-01;4;113.78194891888162;era5
2019-10-01;7;247.5786491394043;era5
2019-10-01;10;257.0394778251648;era5
2019-10-01;13;148.50541376184535;era5
2019-11-01;1;31.719662903374683;era5
2019-11-01;4;94.33459200185278;era5
2019-11-01;7;97.06884047985076;era5
2019-11-01;10;168.24923976262411;era5
2019-11-01;13;170.1888102778682;era5
2019-12-01;1;8.92557269212;era5
2019-12-01;4;35.06772533396016;era5
2019-12-01;7;38.00248911380768;era5
2019-12-01;10;142.99208807945251;era5
2019-12-01;13;166.24173157303423;era5
2020-01-01;1;6.676015245949259;era5
2020-01-01;4;13.577611017486323;era5
2020-01-01;7;17.17304921536852;era5
2020-01-01;10;81.70526986320813;era5
2020-01-01;13;158.93798513765688;era5
2020-02-01;1;6.8331409871090045;era5
2020-02-01;4;4.766459600500884;era5
2020-02-01;7;16.188907376956195;era5
2020-02-01;10;67.06430022418499;era5
2020-02-01;13;92.53673555232861;era5
2020-03-01;1;23.7549905433076;era5
2020-03-01;4;39.87280084879502;era5
2020-03-01;7;45.67864186197985;era5
2020-03-01;10;147.44459009170532;era5
2020-03-01;13;171.74440468682184;era5
2020-04-01;1;44.514310226775706;era5
2020-04-01;4;103.22033979996391;era5
2020-04-01;7;83.08471517562866;era5
2020-04-01;10;236.47148942947388;era5
2020-04-01;13;195.5686518351237;era5
2020-05-01;1;78.66712160408497;era5
2020-05-01;4;33.98904456573984;era5
2020-05-01;7;172.03855714797973;era5
2020-05-01;10;213.3610214392344;era5
2020-05-01;13;44.310046628669454;era5
2020-06-01;1;100.42896923422813;era5
2020-06-01;4;14.095015535924746;era5
2020-06-01;7;192.04566831588744;era5
2020-06-01;10;134.00859924157461;era5
2020-06-01;13;12.306383892341897;era5
2020-07-01;1;219.47737097740173;era5
2020-07-01;4;20.268726127562317;era5
2020-07-01;7;257.5978271484375;era5
2020-07-01;10;136.65666353702545;era5
2020-07-01;13;12.392345975946498;era5
2020-08-01;1;251.4791454076767;era5
2020-08-01;4;13.316162847176843;era5
2020-08-01;7;280.5506437301636;era5
2020-08-01;10;146.33919886747995;era5
2020-08-01;13;11.845126478760331;era5
2020-09-01;1;142.62169057130814;era5
2020-09-01;4;8.241903503044792;era5
2020-09-01;7;258.32815475463866;era5
2020-09-01;10;156.45609227816263;era5
2020-09-01;13;16.37330871158176;era5
2020-10-01;1;68.61394855286926;era5
2020-10-01;4;33.230948269885516;era5
2020-10-01;7;191.5359962463379;era5
2020-10-01;10;173.3277550538381;era5
2020-10-01;13;30.960624200326425;era5
2020-11-01;1;11.08919157670698;era5
2020-11-01;4;47.29454353840455;era5
2020-11-01;7;44.59673883728683;era5
2020-11-01;10;132.98612395922342;era5
2020-11-01;13;113.1527195683232;era5
2020-12-01;1;1.6925948418146959;era5
2020-12-01;4;9.813509331190067;era5
2020-12-01;7;5.544099842885044;era5
2020-12-01;10;45.690316304564476;era5
2020-12-01;13;61.70047318493879;era5
2021-01-01;1;1.2668982303068788;era5
2021-01-01;4;1.1035740500856344;era5
2021-01-01;7;4.106237433553906;era5
2021-01-01;10;40.5513627496645;era5
2021-01-01;13;59.83743765453497;era5
2021-02-01;1;7.741825689230097;era5
2021-02-01;4;3.225175918303411;era5
2021-02-01;7;8.203543754230486;era5
2021-02-01;10;36.308992286523186;era5
2021-02-01;13;68.72134190908184;era5
2021-03-01;1;6.746733268839307;era5
2021-03-01;4;6.140994221855426;era5
2021-03-01;7;32.659620106220245;era5
2021-03-01;10;58.16126483182112;era5
2021-03-01;13;35.74923299860071;era5
2021-04-01;1;49.8902780264616;era5
2021-04-01;4;56.519947723720385;era5
2021-04-01;7;95.58981444835663;era5
2021-04-01;10;144.6670217116674;era5
2021-04-01;13;94.27136590745714;era5
2021-05-01;1;88.39690604805946;era5
2021-05-01;4;38.781353417686795;era5
2021-05-01;7;192.24347457885742;era5
2021-05-01;10;164.29404338200888;era5
2021-05-01;13;44.44312466515435;era5
2021-06-01;1;55.27140320837498;era5
2021-06-01;4;3.9029032880116414;era5
2021-06-01;7;138.3726448059082;era5
2021-06-01;10;53.251406321922936;era5
2021-06-01;13;8.56579585870107;era5
2021-07-01;1;207.74422419071198;era5
2021-07-01;4;13.548841270415679;era5
2021-07-01;7;232.98416061401366;era5
2021-07-01;10;88.03212489684422;era5
2021-07-01;13;8.606270024070033;era5
2021-08-01;1;169.23959177732468;era5
2021-08-01;4;5.6826551450335465;era5
2021-08-01;7;205.5440984725952;era5
2021-08-01;10;85.47076829274495;era5
2021-08-01;13;10.368302603562674;era5
2021-09-01;1;151.48862946033478;era5
2021-09-01;4;7.384267970790034;era5
2021-09-01;7;251.8371088027954;era5
2021-09-01;10;142.44391910235086;era5
2021-09-01;13;13.90416509575314;era5
2021-10-01;1;58.173880003392696;era5
2021-10-01;4;13.152186020560887;era5
2021-10-01;7;141.3707998275757;era5
2021-10-01;10;120.07204548517863;era5
2021-10-01;13;14.859980247638843;era5
2021-11-01;1;5.979468792909756;era5
2021-11-01;4;14.36433139320301;era5
2021-11-01;7;32.386364090442655;era5
2021-11-01;10;59.19634245211879;era5
2021-11-01;13;47.25662061903212;era5
2021-12-01;1;2.262608381610505;era5
2021-12-01;4;8.2298922862645;era5
2021-12-01;7;7.359892656840384;era5
2021-12-01;10;62.25940213678405;era5
2021-12-01;13;75.7365762922499;era5
2022-01-01;1;6.830842122742473;era5
2022-01-01;4;7.17456886180798;era5
2022-01-01;7;14.161198720755056;era5
2022-01-01;10;38.024461987117924;era5
2022-01-01;13;44.61216842686689;era5
2022-02-01;1;2.2516963123151137;era5
2022-02-01;4;1.009089785147681;era5
2022-02-01;7;5.1144335125739016;era5
2022-02-01;10;29.049830205738544;era5
2022-02-01;13;73.19034901399303;era5
2022-03-01;1;8.923371117286257;era5
2022-03-01;4;5.596218266953593;era5
2022-03-01;7;21.527008970081805;era5
2022-03-01;10;56.94883461793264;era5
2022-03-01;13;21.563088681962753;era5
2022-04-01;1;36.16353429853916;era5
2022-04-01;4;28.374418960446896;era5
2022-04-01;7;116.45028738975525;era5
2022-04-01;10;171.03674272696176;era5
2022-04-01;13;64.56976699829102;era5
2022-05-01;1;24.10755507927388;era5
2022-05-01;4;21.685011516333276;era5
2022-05-01;7;100.29008885622025;era5
2022-05-01;10;121.23737881580989;era5
2022-05-01;13;18.67133293107704;era5
2022-06-01;1;70.18513932824135;era5
2022-06-01;4;6.476772926326679;era5
2022-06-01;7;156.54381322860718;era5
2022-06-01;10;64.03150913119316;era5
2022-06-01;13;8.242284144516345;era5
2022-07-01;1;191.51290357112885;era5
2022-07-01;4;11.007004261405571;era5
2022-07-01;7;236.15202808380127;era5
2022-07-01;10;78.6132899125417;era5
2022-07-01;13;10.293344488850346;era5
2022-08-01;1;242.7757863998413;era5
2022-08-01;4;10.16047243658939;era5
2022-08-01;7;283.9325355529785;era5
2022-08-01;10;125.90573994318645;era5
2022-08-01;13;10.463972926139832;era5
2022-09-01;1;138.19956505298615;era5
2022-09-01;4;5.981671164735504;era5
2022-09-01;7;229.9101251602173;era5
2022-09-01;10;109.98180262247722;era5
2022-09-01;13;12.195910237453601;era5
2022-10-01;1;59.03220261819661;era5
2022-10-01;4;23.045255384497022;era5
2022-10-01;7;152.78338680267333;era5
2022-10-01;10;97.12639894088109;era5
2022-10-01;13;9.195755269792345;era5
2022-11-01;1;5.504318265555441;era5
2022-11-01;4;14.519977263409807;era5
2022-11-01;7;42.79856472164393;era5
2022-11-01;10;111.420464605093;era5
2022-11-01;13;63.67654097521746;era5
2022-12-01;1;6.260790490335525;era5
2022-12-01;4;14.010858154879964;era5
2022-12-01;7;18.46150769429846;era5
2022-12-01;10;65.71249157314499;era5
2022-12-01;13;58.576428978531446;era5
2013-01-01;1;5.700156248814892;gpcc
2013-01-01;4;6.514434786724007;gpcc
2013-01-01;7;11.388000020384789;gpcc
2013-01-01;10;32.97874995445212;gpcc
2013-01-01;13;53.3566667371326;gpcc
2013-02-01;1;3.4003125083982013;gpcc
2013-02-01;4;2.800956513684081;gpcc
2013-02-01;7;12.566750060021878;gpcc
2013-02-01;10;20.097708376745384;gpcc
2013-02-01;13;13.458148258703726;gpcc
2013-03-01;1;20.55343756621005;gpcc
2013-03-01;4;39.281477684041725;gpcc
2013-03-01;7;51.41349984407425;gpcc
2013-03-01;10;106.41916684309642;gpcc
2013-03-01;13;116.12333297729492;gpcc
2013-04-01;1;50.48125013150275;gpcc
2013-04-01;4;82.63400009818699;gpcc
2013-04-01;7;93.24874973297119;gpcc
2013-04-01;10;146.21916592121124;gpcc
2013-04-01;13;147.08740743001303;gpcc
2013-05-01;1;77.82625016570091;gpcc
2013-05-01;4;45.383217339930326;gpcc
2013-05-01;7;181.99500045776367;gpcc
